Sf,VCME,Bz,Vsw,Kp,Lat,Lcable,risk_score,risk_category
1,602.4,-1.78,485.5,2.2,38.17,1861.4,0.2251,Low
2,1161.7,-4.95,507.7,2.62,26.26,2401.3,0.3942,Medium
2,435.4,-1.7,748.9,5.16,23.95,201.4,0.3938,Medium
1,507.4,-3.63,610.1,2.65,56.15,127.2,0.2686,Low
2,946.4,15.0,461.1,2.52,58.5,202.8,0.4069,Medium
1,420.2,2.18,431.8,1.34,46.82,164.2,0.1682,Low
2,409.7,0.58,671.4,2.66,22.76,177.3,0.2743,Low
2,1223.7,2.62,806.9,9.0,52.97,633.5,0.7387,High
3,388.5,-1.71,454.9,6.62,30.81,127.1,0.549,Medium
1,928.4,2.54,595.5,8.28,38.94,215.1,0.5259,Medium
1,282.7,-0.64,560.3,2.56,-2.93,251.8,0.1557,Low
1,460.3,-4.59,553.0,6.3,1.12,3136.6,0.307,Low
2,572.7,-23.77,519.2,6.57,20.33,9373.3,0.5826,Medium
1,297.0,-3.63,748.0,0.42,17.73,234.1,0.1073,Low
1,332.7,0.75,374.4,1.8,56.95,1195.5,0.1887,Low
1,318.8,-1.71,484.9,7.24,-5.84,9136.3,0.3284,Low
1,896.2,8.63,593.5,1.08,54.49,1918.1,0.2265,Low
1,1064.4,-9.41,351.4,3.18,22.62,361.4,0.3072,Low
1,250.0,-2.41,307.4,5.95,-10.03,5119.0,0.2852,Low
2,1071.0,-2.4,609.0,0.69,6.47,541.5,0.255,Low
1,556.8,2.97,470.3,1.07,29.53,175.6,0.156,Low
3,555.2,5.31,433.0,1.59,24.9,1974.0,0.3319,Medium
1,300.6,3.02,549.5,1.05,44.74,141.7,0.1381,Low
2,636.2,-0.49,595.8,7.13,60.69,1168.1,0.6018,Medium
1,942.6,-10.11,569.3,8.27,50.66,135.8,0.6051,Medium
2,250.0,-0.7,476.8,2.92,26.98,226.6,0.2787,Low
2,653.0,6.87,250.0,8.09,15.85,118.0,0.491,Medium
3,1360.8,-9.88,474.5,1.42,-1.6,1281.6,0.4212,Medium
1,509.4,-0.62,476.0,1.92,1.2,2237.4,0.153,Low
1,1013.0,1.25,540.0,1.65,52.77,841.5,0.2669,Low
1,315.6,-4.82,250.0,7.4,54.42,8995.1,0.4604,Medium
2,721.1,-0.99,364.3,5.73,-8.76,458.8,0.3927,Medium
1,401.3,0.12,282.7,1.75,-50.88,288.5,0.189,Low
2,696.0,-12.03,558.1,2.34,23.3,6291.7,0.3738,Medium
1,1161.5,-3.69,483.9,8.67,39.68,1207.0,0.5853,Medium
1,911.1,0.38,443.3,5.85,40.06,2904.9,0.4201,Medium
1,503.9,1.14,600.9,0.14,34.98,335.3,0.1155,Low
1,437.0,-3.26,383.9,2.78,37.03,436.5,0.2311,Low
2,280.8,4.54,347.6,2.42,26.63,202.2,0.2573,Low
2,703.9,4.78,418.3,2.43,-31.5,1485.7,0.315,Low
3,429.5,-0.7,250.0,0.74,45.24,422.4,0.3257,Low
2,766.5,-2.96,607.0,5.93,12.32,8846.9,0.4307,Medium
1,606.3,-7.38,491.3,8.67,64.2,190.8,0.6089,Medium
2,972.2,-2.62,542.8,6.2,29.09,469.1,0.5134,Medium
1,412.4,5.04,633.7,1.48,9.79,1199.9,0.1364,Low
1,523.9,-5.85,700.4,2.07,0.35,444.0,0.1775,Low
2,262.1,9.14,574.9,7.26,1.6,224.0,0.3766,Medium
3,512.3,-2.17,535.4,2.21,52.6,1365.3,0.4416,Medium
2,396.0,-3.92,628.1,1.28,17.36,6628.8,0.2385,Low
2,1196.6,-11.36,472.1,6.39,22.17,221.2,0.5685,Medium
3,307.2,-5.6,613.9,2.11,-7.19,649.1,0.3411,Medium
1,781.5,-5.11,512.3,7.1,9.88,1452.3,0.3895,Medium
1,735.5,-0.88,483.1,3.35,12.08,204.9,0.2419,Low
2,467.9,-2.63,668.7,4.81,52.58,2192.3,0.4644,Medium
1,1266.0,-1.81,635.8,4.15,16.77,2711.4,0.3405,Medium
1,472.0,-2.97,495.9,2.14,15.61,320.1,0.1815,Low
1,361.0,0.1,320.9,6.21,57.84,773.5,0.4086,Medium
2,597.4,0.47,250.0,2.01,40.77,599.4,0.3021,Low
2,337.3,6.21,900.0,2.66,26.84,771.4,0.274,Low
2,442.2,-17.01,613.8,3.56,15.44,326.4,0.4154,Medium
2,540.6,-9.67,478.4,6.04,6.65,481.6,0.4248,Medium
2,287.9,4.88,472.3,4.06,29.44,1410.4,0.3304,Medium
1,662.4,10.15,500.5,7.81,8.34,341.3,0.3845,Medium
1,250.0,0.87,693.2,1.89,38.54,2889.4,0.1635,Low
1,474.7,-1.21,613.0,6.02,0.16,1595.6,0.2876,Low
2,356.2,-0.43,433.8,6.75,27.82,1129.4,0.4466,Medium
1,254.9,-2.89,583.2,6.69,39.19,171.7,0.3862,Medium
2,864.1,3.35,275.5,2.17,26.72,239.5,0.3128,Low
2,1292.2,-0.58,449.8,0.88,40.18,631.1,0.3399,Medium
1,614.8,-7.23,342.8,7.49,7.86,331.9,0.3804,Medium
2,764.8,-11.05,492.3,8.05,29.0,3000.9,0.6147,Medium
3,373.4,-3.67,629.5,2.69,49.68,607.5,0.4625,Medium
1,590.4,0.22,588.4,1.81,-15.33,703.3,0.1729,Low
3,1890.8,3.31,568.4,8.77,57.83,260.4,0.9357,High
1,699.8,-6.37,474.9,7.04,4.62,149.0,0.3665,Medium
1,612.6,-0.84,391.4,6.85,-2.29,704.8,0.3317,Medium
1,616.6,-0.54,719.7,1.01,7.7,2348.3,0.1395,Low
1,553.2,0.03,680.1,6.13,57.98,198.2,0.4313,Medium
1,443.4,-2.23,555.6,6.61,-6.43,158.3,0.3222,Low
1,339.1,2.6,624.6,0.7,47.69,229.5,0.1296,Low
2,795.4,2.53,648.3,1.45,52.13,353.5,0.3223,Low
1,900.7,1.94,653.9,2.01,6.9,290.7,0.1997,Low
2,853.2,3.82,489.3,7.57,52.51,196.5,0.6206,Medium
1,571.8,-1.44,250.0,1.39,17.02,965.7,0.1589,Low
1,388.5,-14.98,330.9,7.71,8.83,744.7,0.3818,Medium
2,418.2,-2.78,383.6,7.57,55.2,345.2,0.5874,Medium
2,361.3,0.06,541.5,4.14,17.71,189.3,0.3164,Low
1,571.4,9.1,463.9,6.33,-4.59,180.2,0.314,Low
1,333.8,4.47,250.0,1.94,58.22,2997.9,0.1971,Low
1,405.2,7.47,424.4,6.78,8.75,303.8,0.3236,Low
1,503.6,-1.4,309.5,6.41,7.07,479.8,0.3185,Low
2,641.9,-2.59,505.2,6.33,2.33,1085.2,0.3965,Medium
2,1326.6,-7.01,336.8,6.77,28.18,2497.6,0.5853,Medium
3,289.7,-1.33,508.7,3.24,-4.87,307.4,0.3295,Low
1,1754.6,-8.48,562.3,2.78,-9.63,216.8,0.3422,Medium
1,371.8,-0.3,565.4,2.33,54.52,777.7,0.2182,Low
2,336.1,-1.49,472.1,2.13,17.61,837.0,0.2449,Low
1,328.1,3.05,398.4,8.65,17.53,366.8,0.4078,Medium
2,786.1,-4.91,343.3,1.85,44.31,468.0,0.3481,Medium
2,756.7,2.23,382.8,2.78,0.63,272.0,0.2695,Low
1,511.3,4.48,704.9,2.79,42.86,1016.5,0.2408,Low
3,2226.3,-20.31,408.3,3.62,20.59,209.8,0.7262,High
3,1167.3,2.59,569.4,1.03,-8.87,596.9,0.3371,Medium
2,453.5,-2.98,630.0,1.97,60.13,1311.8,0.3437,Medium
2,479.6,7.18,506.1,2.26,18.01,3099.4,0.2576,Low
1,310.3,-15.95,573.5,2.76,36.41,920.4,0.265,Low
2,926.9,-4.64,436.0,6.62,21.83,561.2,0.5077,Medium
2,767.6,-0.62,421.1,4.07,58.28,720.1,0.4619,Medium
1,694.2,-2.09,666.5,6.61,44.84,9875.2,0.449,Medium
2,408.5,7.15,523.2,7.9,7.2,1311.8,0.4301,Medium
3,1110.9,2.56,744.3,6.01,26.44,565.1,0.5759,Medium
3,2549.6,0.4,403.7,5.72,50.95,962.5,0.843,High
1,537.0,-0.98,731.5,7.34,2.15,277.0,0.3425,Medium
1,443.7,-1.53,570.8,8.66,18.0,3426.0,0.4266,Medium
1,535.7,1.59,474.8,2.37,4.11,1063.7,0.173,Low
2,311.7,-6.03,701.2,1.89,21.63,1456.6,0.2811,Low
3,269.7,7.23,496.5,1.95,9.66,140.6,0.2826,Low
1,296.5,1.18,614.6,1.16,31.16,1733.7,0.131,Low
1,417.1,-2.09,504.8,8.83,28.71,169.4,0.4638,Medium
2,250.0,-7.25,434.7,0.56,5.63,1657.1,0.1869,Low
1,328.9,9.8,774.9,8.75,25.59,1657.6,0.435,Medium
2,813.6,0.59,606.9,3.74,53.15,301.2,0.4353,Medium
2,500.5,2.4,479.0,3.53,39.73,608.1,0.3553,Medium
1,704.3,-2.76,627.6,6.75,12.68,305.2,0.3722,Medium
3,383.7,-2.54,316.5,6.54,64.88,584.2,0.665,High
2,841.2,-0.28,501.2,1.31,56.08,220.8,0.331,Medium
1,525.8,-11.86,640.5,6.0,56.75,1925.5,0.4734,Medium
1,312.5,0.75,553.4,3.58,-11.73,4618.8,0.2047,Low
1,542.5,-10.49,587.7,3.28,34.14,842.4,0.2918,Low
2,1328.7,-7.26,520.3,2.6,26.75,248.3,0.4287,Medium
1,901.4,1.38,650.4,8.88,-7.62,154.6,0.4438,Medium
1,542.6,-0.2,606.5,5.55,17.09,306.1,0.3123,Low
1,905.7,-8.74,320.1,7.05,51.85,515.2,0.526,Medium
1,334.8,-6.04,596.4,8.84,-10.99,1973.8,0.4164,Medium
1,974.7,0.76,612.1,7.08,29.16,125.2,0.4502,Medium
2,1554.7,6.38,432.7,1.85,56.1,568.6,0.4506,Medium
1,304.6,0.83,519.7,1.42,31.3,2979.9,0.143,Low
2,383.6,-10.91,532.3,6.38,36.4,620.2,0.5319,Medium
1,582.1,0.79,545.2,6.78,-10.78,958.5,0.3462,Medium
1,272.4,-0.49,628.6,5.71,26.03,1722.5,0.3092,Low
1,946.8,-6.49,571.1,2.19,-24.6,267.3,0.2611,Low
1,303.1,-1.19,337.7,1.44,58.68,387.2,0.1721,Low
2,1440.9,1.44,465.3,2.35,21.17,2365.2,0.3711,Medium
1,250.0,-10.02,528.7,2.5,10.87,2294.3,0.1867,Low
2,365.2,10.71,523.1,7.7,-37.59,128.4,0.5149,Medium
1,539.4,-1.83,554.3,4.07,54.55,175.2,0.3296,Low
1,469.3,-3.69,266.3,1.45,15.99,5598.4,0.153,Low
2,656.6,-11.95,392.0,2.74,13.24,150.3,0.3369,Medium
1,470.8,-0.37,673.9,9.0,-3.32,2467.9,0.3939,Medium
1,250.0,-0.78,484.6,0.8,39.65,3686.0,0.1193,Low
1,567.1,0.18,535.8,5.69,34.76,246.3,0.359,Medium
1,421.5,2.67,573.8,1.81,51.1,3051.8,0.1947,Low
3,602.3,-0.72,675.4,1.49,70.27,2582.9,0.4451,Medium
1,451.1,2.46,363.9,2.68,54.25,220.9,0.2436,Low
1,452.4,-0.81,397.8,5.86,-13.42,255.9,0.3074,Low
2,2357.6,0.99,250.0,4.67,-8.63,1170.3,0.5126,Medium
1,616.8,-2.07,533.5,5.78,53.75,254.7,0.4206,Medium
3,1368.9,1.1,518.4,5.99,54.22,739.9,0.7151,High
2,1073.4,1.07,389.1,5.23,59.64,193.0,0.5601,Medium
1,250.0,-9.79,564.5,6.17,65.71,184.6,0.4508,Medium
1,372.5,1.54,573.3,4.84,35.14,231.0,0.3008,Low
2,624.6,6.02,311.5,8.91,20.81,2397.1,0.537,Medium
1,293.2,1.57,576.3,6.88,17.13,1769.7,0.3358,Medium
1,540.5,-6.22,398.1,2.17,34.39,2561.4,0.2214,Low
1,376.4,-2.46,624.1,4.48,22.9,2667.2,0.2729,Low
3,643.8,-0.97,423.0,3.89,18.72,177.3,0.4226,Medium
1,975.4,-0.99,576.0,5.79,-21.91,185.1,0.3822,Medium
1,516.5,-6.75,309.7,7.1,54.45,146.4,0.4793,Medium
1,574.0,-1.85,314.7,2.34,11.87,217.8,0.1892,Low
1,695.4,-13.47,654.6,8.0,-0.7,503.2,0.4164,Medium
1,561.9,0.75,779.3,1.37,0.48,4560.3,0.1371,Low
1,433.0,-7.4,562.9,1.19,35.74,1711.4,0.1792,Low
1,279.0,-3.47,562.4,7.09,50.79,3154.0,0.4371,Medium
1,1011.5,8.48,614.1,5.54,10.51,1255.3,0.3437,Medium
1,521.3,5.09,561.1,3.69,41.9,970.7,0.2808,Low
1,675.6,-7.99,350.7,6.38,54.86,3518.4,0.4721,Medium
1,436.2,-1.36,432.9,2.13,50.83,336.6,0.2154,Low
1,439.2,1.16,540.2,1.7,-1.21,200.9,0.1376,Low
1,1363.3,2.04,526.9,4.99,59.1,117.4,0.4882,Medium
1,406.1,-6.0,562.6,2.95,45.59,173.2,0.2618,Low
1,250.0,-11.49,414.7,2.63,-10.34,467.4,0.1879,Low
1,389.4,2.15,392.7,0.69,16.39,444.0,0.1108,Low
1,370.3,-3.71,403.6,6.84,55.43,213.0,0.4455,Medium
1,597.6,0.91,381.9,2.95,39.54,587.6,0.2535,Low
1,794.9,-5.01,409.7,2.17,37.52,1188.5,0.2535,Low
1,351.6,-2.19,434.8,2.17,-44.25,1947.7,0.2012,Low
1,509.1,-3.07,456.1,2.92,34.15,328.6,0.2426,Low
1,528.4,-1.34,368.7,5.74,-37.85,1639.2,0.3669,Medium
3,353.9,3.1,257.9,1.15,41.49,4100.2,0.324,Low
1,538.0,2.77,515.2,1.67,13.26,313.5,0.1596,Low
1,891.3,8.07,428.9,3.58,41.25,352.4,0.3204,Low
2,1328.4,-1.17,563.7,7.75,-1.67,141.9,0.5001,Medium
1,493.4,-3.06,250.0,4.18,3.03,5624.6,0.2332,Low
1,307.7,-0.73,636.8,5.52,-19.06,443.1,0.2925,Low
1,308.7,2.49,393.0,8.11,42.28,196.0,0.4519,Medium
1,442.2,0.85,598.6,7.21,-5.42,780.1,0.3341,Medium
2,345.5,-9.08,629.1,0.4,32.04,3781.9,0.2612,Low
3,1196.3,11.22,526.7,7.35,56.58,193.7,0.7671,High
1,495.0,2.25,586.3,3.32,12.29,1054.3,0.2146,Low
3,467.9,-1.03,321.1,1.87,-36.9,758.3,0.3663,Medium
1,434.9,-5.42,626.9,2.17,60.0,382.0,0.2493,Low
2,798.5,1.15,675.8,1.81,54.89,213.0,0.345,Medium
1,439.4,-1.79,512.9,4.34,-4.52,159.9,0.2371,Low
2,300.3,-0.89,360.5,6.82,4.49,465.3,0.3769,Medium
2,453.2,-0.77,586.6,5.07,54.43,1699.3,0.4608,Medium
2,964.2,-5.58,279.1,1.35,-38.08,672.6,0.3332,Medium
1,256.0,-6.6,635.5,2.3,27.39,210.0,0.1954,Low
1,757.3,-5.86,493.7,4.02,9.88,626.0,0.2777,Low
1,855.0,5.09,661.3,6.59,30.24,276.8,0.4194,Medium
1,641.7,1.47,391.1,2.38,9.97,207.6,0.1919,Low
2,1338.9,-2.36,636.4,6.04,55.89,369.3,0.6454,Medium
1,539.3,-3.39,494.0,6.42,-18.98,172.3,0.3585,Medium
3,486.3,-0.36,484.1,3.38,23.14,222.2,0.394,Medium
1,1461.8,3.41,474.0,2.54,35.34,515.8,0.3323,Medium
1,522.3,-1.75,611.3,1.31,58.8,604.7,0.2004,Low
1,630.5,-0.98,528.6,1.38,16.64,556.7,0.1654,Low
2,924.2,-5.49,536.1,3.28,17.33,14174.5,0.3757,Medium
1,284.6,-0.94,523.6,5.96,-3.72,943.6,0.2744,Low
2,797.3,3.36,419.2,1.06,2.09,1070.3,0.2182,Low
1,332.0,-1.08,604.8,6.84,11.02,612.3,0.3275,Low
2,423.3,3.03,426.0,7.46,2.63,435.5,0.4017,Medium
1,856.7,-2.75,528.0,2.35,53.01,664.5,0.2901,Low
1,316.7,-3.92,448.3,2.7,38.23,474.8,0.2181,Low
2,560.4,0.56,458.5,5.72,9.07,218.3,0.3733,Medium
1,1203.2,6.33,373.0,2.78,21.73,222.4,0.2851,Low
1,304.0,1.69,527.0,7.34,45.55,820.5,0.4252,Medium
1,496.9,4.63,455.3,5.56,-5.74,2445.6,0.2826,Low
1,358.5,2.91,508.8,6.29,57.56,1153.7,0.4115,Medium
1,479.1,-2.11,665.3,1.99,-9.11,1930.6,0.1682,Low
2,374.4,-7.4,563.9,1.67,26.34,184.6,0.2878,Low
1,575.5,0.31,390.8,2.02,13.75,135.8,0.177,Low
1,480.1,-7.27,409.0,4.78,54.51,3318.1,0.3699,Medium
3,794.6,-2.91,589.8,7.53,-3.74,205.8,0.5382,Medium
1,302.1,-2.18,564.4,1.14,24.73,3301.7,0.1328,Low
2,290.5,-0.7,412.2,7.62,6.88,170.9,0.4108,Medium
1,614.1,1.74,676.5,6.89,11.16,1884.2,0.3544,Medium
1,559.9,-14.39,412.8,9.0,-10.5,356.9,0.4557,Medium
1,343.8,0.03,448.1,9.0,44.6,416.9,0.503,Medium
2,720.9,10.34,787.9,2.03,-50.83,2035.1,0.3375,Medium
2,362.2,1.7,434.1,6.52,58.95,594.4,0.5247,Medium
1,916.0,0.31,587.2,0.83,0.73,228.9,0.1521,Low
2,891.9,5.08,755.5,4.07,-5.49,184.7,0.3379,Medium
3,2265.3,-12.12,250.0,5.24,39.15,435.7,0.7907,High
2,330.1,-3.16,610.7,6.01,57.39,888.1,0.5191,Medium
1,384.2,-4.35,586.1,3.23,-19.24,146.9,0.2248,Low
2,1072.5,-10.39,781.7,3.21,10.76,174.4,0.427,Medium
2,696.8,-10.86,432.7,3.42,60.17,2439.9,0.4902,Medium
1,637.6,-13.36,615.1,2.47,30.48,828.6,0.2754,Low
1,487.5,3.49,567.1,1.78,17.99,675.6,0.1641,Low
1,362.2,9.14,326.2,5.83,38.23,722.7,0.3484,Medium
1,468.1,-5.82,287.4,3.42,22.63,1654.8,0.2416,Low
2,556.1,-3.67,417.6,6.15,53.86,822.5,0.5402,Medium
3,2030.4,2.75,645.2,4.98,-38.57,2033.9,0.6886,High
1,448.4,3.61,620.8,3.81,38.69,193.1,0.2715,Low
2,271.0,4.96,590.2,6.32,19.18,193.0,0.3937,Medium
1,425.0,0.04,416.6,4.74,-0.87,413.9,0.2377,Low
2,1606.7,4.54,423.4,5.82,16.56,595.6,0.5076,Medium
2,457.9,-9.82,422.0,6.56,13.18,220.2,0.4512,Medium
2,250.0,-1.53,710.5,5.33,17.15,959.4,0.3608,Medium
2,540.9,-7.34,396.6,3.8,0.16,274.7,0.3119,Low
1,370.8,-1.25,318.8,1.16,-13.38,122.0,0.1261,Low
2,1372.9,4.83,568.2,1.5,-41.48,7471.2,0.3764,Medium
2,870.4,-0.12,355.4,7.83,56.37,2371.6,0.6495,Medium
1,640.0,0.73,256.8,3.1,-5.47,211.1,0.2104,Low
1,1603.2,15.0,429.5,7.37,39.2,326.6,0.5687,Medium
2,887.7,2.08,307.3,7.4,58.38,230.9,0.6373,Medium
1,584.9,-10.45,625.0,2.89,-14.72,3000.3,0.2481,Low
2,362.0,-7.43,266.3,5.77,58.25,645.2,0.5146,Medium
2,289.8,-5.15,506.5,2.48,15.86,618.1,0.2718,Low
1,474.1,-6.74,385.5,2.47,-8.83,823.2,0.1907,Low
2,1017.8,-0.72,444.7,6.43,10.41,134.5,0.4519,Medium
2,676.3,-0.56,566.8,1.64,54.2,133.0,0.3242,Low
1,700.2,-3.16,523.1,0.85,-15.82,248.0,0.1581,Low
3,888.2,-5.3,475.6,5.87,29.13,433.7,0.6017,Medium
2,822.0,0.87,452.2,5.16,45.07,267.7,0.4813,Medium
1,419.1,1.98,569.7,6.9,53.04,382.4,0.4382,Medium
1,613.9,3.62,471.4,6.63,-10.05,361.3,0.3421,Medium
2,624.9,-1.75,563.4,1.61,37.94,206.8,0.2957,Low
1,262.6,-1.93,603.0,5.95,-41.21,270.4,0.3553,Medium
2,1402.5,-6.52,609.4,7.23,6.79,150.0,0.5441,Medium
2,364.8,-0.71,540.3,0.0,0.77,3056.5,0.1441,Low
1,339.8,1.65,464.8,5.92,-3.39,3779.9,0.2751,Low
2,250.0,6.23,438.9,7.44,-44.46,593.9,0.5106,Medium
1,524.3,4.98,393.9,2.61,18.96,816.9,0.2008,Low
1,613.3,-2.01,686.4,7.27,54.28,138.7,0.4947,Medium
1,506.8,0.34,487.8,8.49,-3.79,1201.8,0.3801,Medium
1,520.5,-7.1,363.6,6.99,-8.41,535.9,0.3553,Medium
1,475.4,1.14,484.0,1.05,40.49,298.4,0.1561,Low
1,737.9,-4.58,250.0,6.1,51.89,248.6,0.4476,Medium
1,362.4,-2.46,656.4,3.42,2.42,216.1,0.1985,Low
1,250.0,-1.61,250.0,5.07,35.04,268.8,0.2985,Low
1,559.3,-11.56,250.0,4.34,18.64,414.8,0.2872,Low
2,550.0,-4.59,451.4,2.34,38.83,214.8,0.3344,Medium
1,959.0,11.62,503.3,5.44,53.96,211.1,0.4426,Medium
1,473.7,-4.22,501.1,1.68,24.06,278.0,0.1779,Low
1,481.6,-2.31,668.2,5.97,40.11,333.5,0.3833,Medium
1,566.5,-0.22,535.2,0.97,12.7,270.2,0.1369,Low
2,901.4,-0.84,646.7,3.5,54.67,239.6,0.4472,Medium
1,611.3,-11.21,482.8,5.56,11.61,243.4,0.3364,Medium
1,484.4,-1.62,250.0,6.72,-23.96,1021.3,0.369,Medium
1,250.0,-0.66,621.1,7.64,1.53,2391.0,0.3228,Low
2,318.5,-3.47,501.2,1.36,43.34,266.6,0.2664,Low
1,289.9,-2.17,611.4,1.06,37.98,1750.4,0.1402,Low
1,525.5,5.45,629.8,0.23,59.57,1745.6,0.1405,Low
2,1384.0,-16.43,445.0,3.69,-51.66,243.8,0.6076,Medium
1,699.7,2.51,533.0,1.82,10.23,5904.9,0.178,Low
3,331.9,1.75,672.3,2.17,-3.14,1112.6,0.2823,Low
3,614.8,-15.39,452.6,7.02,64.95,198.6,0.8625,High
1,467.4,-5.56,464.0,2.91,21.97,420.0,0.226,Low
1,599.6,-0.46,601.4,0.71,58.25,260.9,0.1749,Low
3,1052.6,-6.26,640.7,6.09,-7.66,382.7,0.5654,Medium
2,1120.5,-6.75,653.7,2.71,45.08,484.7,0.4678,Medium
3,438.7,12.66,562.2,1.59,31.71,261.9,0.3331,Medium
1,606.9,2.73,437.7,6.52,15.21,610.0,0.3504,Medium
2,758.2,8.43,568.2,8.54,49.76,589.6,0.6435,Medium
1,250.0,-0.22,473.5,2.48,24.93,2369.4,0.1742,Low
1,354.9,-5.13,503.1,5.46,4.48,173.1,0.2763,Low
2,1386.0,-7.12,515.0,3.13,60.0,362.3,0.5547,Medium
1,390.9,1.02,540.0,1.13,23.98,1310.5,0.1342,Low
1,510.4,-5.42,631.8,2.22,39.48,966.1,0.2333,Low
1,527.9,-2.55,582.9,6.45,29.99,1490.8,0.3846,Medium
3,2093.3,7.56,514.4,6.25,-7.72,345.3,0.6099,Medium
2,1039.3,4.22,579.9,1.43,25.78,183.0,0.3009,Low
1,1427.1,1.37,250.0,6.13,-11.23,200.8,0.409,Medium
2,1002.1,-0.83,573.0,5.75,-0.82,361.8,0.3975,Medium
2,559.0,1.87,391.7,3.62,60.87,335.4,0.4135,Medium
1,493.6,0.34,374.9,9.0,41.72,332.1,0.5129,Medium
1,524.1,9.35,689.3,2.64,10.3,275.8,0.1898,Low
3,2251.6,-13.3,588.7,2.69,58.77,356.7,0.864,High
1,1011.7,-0.57,655.2,2.75,37.04,2711.8,0.2931,Low
1,714.6,-3.87,609.8,1.53,51.04,652.4,0.2364,Low
1,1128.5,-6.96,514.2,3.64,35.6,366.9,0.3632,Medium
2,875.5,4.96,614.4,6.26,33.2,3673.2,0.5002,Medium
2,1037.2,-0.65,606.4,1.77,-1.25,154.6,0.2673,Low
1,403.8,1.29,421.8,6.58,39.54,2991.1,0.389,Medium
2,617.7,0.42,780.8,2.07,10.81,4409.8,0.2518,Low
1,759.0,-5.49,377.5,3.14,54.0,886.7,0.3211,Low
1,258.2,1.23,463.8,1.1,20.2,143.7,0.1157,Low
1,529.3,-2.99,482.2,0.0,34.96,3589.7,0.1217,Low
1,1099.0,-1.15,456.1,6.17,45.62,1342.6,0.4764,Medium
1,603.6,0.42,545.4,6.33,62.05,1267.2,0.4574,Medium
1,466.6,-4.04,455.4,2.1,33.62,254.8,0.2048,Low
1,475.8,1.16,657.5,2.95,-1.38,180.9,0.1833,Low
1,461.3,-10.32,530.7,1.84,22.33,134.6,0.2008,Low
1,354.3,-4.39,453.8,6.23,34.87,2021.0,0.37,Medium
1,530.5,-1.75,540.2,1.56,-0.37,861.7,0.145,Low
2,311.7,-10.18,436.4,7.3,50.69,1267.3,0.5934,Medium
2,937.1,-7.47,379.7,2.8,28.2,421.4,0.385,Medium
3,524.6,-13.45,434.4,4.7,36.01,1616.7,0.5993,Medium
1,397.1,0.54,636.1,3.41,60.54,2008.0,0.281,Low
1,807.2,-12.73,539.1,2.96,-3.07,165.2,0.2528,Low
2,992.4,-1.02,622.5,6.2,61.06,1742.9,0.6109,Medium
1,336.2,9.07,469.4,6.31,67.93,601.4,0.4329,Medium
2,474.6,9.09,250.0,2.6,51.95,600.2,0.3343,Medium
2,630.8,-4.11,694.4,8.29,34.26,300.4,0.5973,Medium
1,250.0,-1.32,571.3,2.53,31.56,218.4,0.1882,Low
2,444.9,1.05,507.0,1.61,36.53,227.4,0.2589,Low
1,652.7,0.53,494.7,1.75,11.22,178.8,0.1718,Low
2,486.7,-2.61,250.0,0.2,8.97,155.8,0.1756,Low
1,572.5,-3.42,495.7,7.64,54.51,200.8,0.5097,Medium
2,1061.8,1.86,474.2,1.81,-8.87,324.9,0.2831,Low
1,367.8,-1.18,726.9,0.57,53.5,4393.0,0.1375,Low
1,639.8,-5.73,495.2,8.09,24.21,131.9,0.4558,Medium
2,370.7,-2.3,612.1,3.11,26.04,373.8,0.3113,Low
1,464.4,5.24,450.3,6.84,14.24,1432.8,0.3454,Medium
1,570.5,1.69,510.2,7.16,27.01,1259.0,0.4018,Medium
2,859.6,-1.08,599.9,3.41,-20.42,444.8,0.3553,Medium
2,752.6,-1.1,366.6,7.37,53.09,120.2,0.6056,Medium
2,969.5,0.69,407.3,3.08,19.27,273.1,0.3441,Medium
1,623.5,-7.58,447.3,2.59,32.08,7883.9,0.2512,Low
1,302.8,-3.95,500.2,3.23,53.25,684.7,0.2632,Low
2,1049.8,0.14,617.5,7.01,29.9,240.6,0.5406,Medium
1,276.4,6.74,477.2,8.33,31.81,156.2,0.4294,Medium
1,338.5,-1.12,688.1,1.94,52.38,1799.5,0.1968,Low
3,1031.8,2.42,372.9,2.37,8.33,3118.8,0.3698,Medium
2,1154.4,-3.76,661.4,2.87,7.92,703.0,0.354,Medium
1,283.2,2.52,370.4,1.85,46.87,2272.2,0.1744,Low
1,261.8,-3.39,486.2,1.16,-6.12,2293.1,0.1155,Low
2,390.2,-4.54,549.4,2.88,-23.43,927.2,0.3119,Low
2,261.9,-1.82,484.2,5.56,59.85,1890.0,0.4791,Medium
1,1009.9,-14.07,442.7,7.26,13.75,479.7,0.45,Medium
2,1302.1,-0.17,550.6,4.15,23.43,293.3,0.4337,Medium
1,554.0,1.63,665.1,6.99,58.8,176.6,0.4754,Medium
1,259.7,6.95,272.7,1.21,13.41,3808.0,0.1143,Low
1,433.4,1.73,484.2,4.76,39.63,210.7,0.3131,Low
1,429.0,-2.32,653.0,7.12,57.51,1122.4,0.4721,Medium
1,349.2,-13.38,651.4,7.4,60.9,193.1,0.5378,Medium
2,485.0,-4.16,755.3,2.29,-18.16,644.5,0.2958,Low
1,361.8,-0.9,564.5,3.05,-0.8,183.0,0.1776,Low
1,348.5,-5.25,508.2,6.12,42.93,376.3,0.3876,Medium
2,709.4,-9.54,521.4,5.63,56.68,1592.0,0.5937,Medium
